review_id,restaurant_name,review_date,username,review_title,review_rating,review_text
364725410,YAMAZAKI,2016-04-17,Manuel P,Fantástico ,5,"Nos apetecía comida japonesa y buscamos mediante TripAdvisor los japoneses mejor valorados de Sevilla, y guiandonos por los comentarios hemos acabado en Yamazaki, que a partir de ahora se convierte en uno de nuestros favoritos. Todo lo que hemos pedido nos ha gustado mucho y ademas tienen dos tamaños (platos y ""tapas"") lo que te permite probar de muchas cosas y combinar a tu gusto. Gracias a eso pudimos probar las gyozas que estaban muy buenas, tataki de buey espectacular, el yakisoba riquísimo y varios tipos de urumakis y nigiris los cuales nos gustaron TODOS. Y además el servicio fue muy bueno, muy atento todo el personal, sin resultar agobiante y sin esperas demasiado largas entre plato y plato. Como aspecto a mejorar solo reseñar que una de las chicas (sería nueva) no tenía muy claro como estaba compuesto el mix de sushi (cuantos makis, cuantos urumakis y cuantos nigiris), aún así no ibamos a pedir eso, aunque podría haber ido a preguntar a otro compañero pero bueno..Sin duda volveremos y lo recomendaré por ahí."
362581289,YAMAZAKI,2016-04-08,68foster,De lo mejor de Sevilla,5,"Para mi , es un japonés de los mejores de Sevilla. Tanto en atención como en la calidad de sus platos.La presentación de todos ellos son bastante cuidadas.Sushi muy bueno, Gioza excelentes, su ensalada de algas es extraordinaria.Sus camareros son siempre super atentos.Siempre que puedo repito."
351406294,YAMAZAKI,2016-02-27,vpuebla,Un japones a la altura de los mejores,5,"Nos encanta la comida japonesa. La hemos tomado en muchos sitios y puedo asegurar q la de yamazaki esta a la altura de las mejores. El tartar de pez mantequilla es insuperable, la ensalada wakame igual, todas las elaboraciones de sushi perfectas, servicio excelente. Solo le queda ampliar postres y licorew"
350757452,YAMAZAKI,2016-02-25,pigaro2016,el mejor de sevilla,5,el mejor restaurante japones de Sevilla lo he visitado en varias ocasiones y siempre me sorprende. sobre todo su variedad de platos
347943596,YAMAZAKI,2016-02-15,meriquan,Excelente japo en Sevilla por no decir el mejor,5,"Excelente restaurante japones en las setas de sevilla. Creo que de lo mejor que he probado y eso que soy fanatica del sushi. Calidad excepcional, rollos de sushis diferentes y precio mas que ajustado. El servicio muy bueno y ademas tienen terraza, asi que a partir de ahora se transformara en uno de mis preferidos. Recomendable al 100 por cien."
347410634,YAMAZAKI,2016-02-13,Carmen C,El mejor japonés calidad precio de sevilla,5,"Ya he ido 3 veces y las que me quedan!! Dejandonos aconsejar por la camarera, que es encantadora, cada vez que vamos descubrimos platos nuevos muuuy buenos. Precio por persona 16-20€ muuuy bien servidos!"
345753337,YAMAZAKI,2016-02-08,pablo828,Sushi de 10,5,"Para mi es de los mejores sitios donde he comido sushi y además el servicio también fue muy correcto, habrá que repetir."
342441605,YAMAZAKI,2016-01-24,NABREL,Japones y con propuestas,4,"Local agradable con propuestas interesantes y a muy buen precio añ poder degustar sus platos en formato tapa o racion completa. Rico el tartar de lubina, las gyozas de Pollo, el tataki de atun de Barbate y los maki rolls de dorada"
338877631,YAMAZAKI,2016-01-10,Emilia Alberti A,Simpatía del personal,4,"Calida buena, el sushi muy rico, aunque como pasa con muchos japos, el precio es bastante elevado y las cantidades son mínimas, por lo que te gasta un pastizal y te quedas con ganas de irte a comerte un serranito. Pero por lo demás el sitio, la comida y la camarera oriental que nos atendió fue estupenda!"
338755112,YAMAZAKI,2016-01-09,Tunde B,Buen servicio,4,"En general, un buen servicio. Muy buen trato y aunque las raciones se queden algo cortas, el precio del menu del dia esta acorde con la cantidad de platos y el postre. "
337166263,YAMAZAKI,2016-01-04,Isabel A,Contestación a Miguel,4,"Buenos días Miguel, soy camarera de este restaurante y la causa de porque no se montó la mesa para 9 comensales es que todas las mesas estaban reservadas menos dos mesas de 2 personas, es decir, sólo había libre lugar para 4 comensales y la política del restaurante es que todos los comensales estén cómodos y tengan un buen servicio.Perdona las molestias pero, fue por esta causa la que no se le pudo montar la mesa para 9 comensales.Un cordial saludo,"
336889864,YAMAZAKI,2016-01-03,Miguelmd,Rechazo japonés.,1,Este mediodía estando el restaurante vacío el japonés no ha sido capaz de montar una mesa para 9 comensales solo sabia poner pegas y mas pegas hasta que hemos decidido cambiar de restaurante y eso que tenia buenas referencias del restaurante. La comida estará buena pero el servicio es muy deficiente.
335704581,YAMAZAKI,2015-12-29,FRANCIS N,Muy buen servicio y comida,5,Roberto da un servicio espectacular. El Yakisoba buenísimo y el roll dragón ball muy recomendable. En general muy buena la calidad de la comida y se debe probar el postre.
334057825,YAMAZAKI,2015-12-20,SantiagoM3,Japones correcto,3,"Sin llegar a ser de los mejores japoneses que he probado, yamazaki puede considerarse correcto. Me gustó mas el yakisoba, las gyozas y la tempura de langostinos que el sushi. Como la mayoría de los restaurantes de este tipo me parece caro aunque este se encuentra en la media. El servicio si me pareció amable y bastante rápido."
332936607,YAMAZAKI,2015-12-15,Angela O,Magnifico!,5,"Japonés muy rico, muy bien de precio para ser un japonés, buen producto, muy buen trato y un lugar con un ambiente tranquilo y agradable! Muy recomendable"
